,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
2045,270,244,244,3245,3111,2945,35,24,17,6887,6755,6755,469,452,314,4381,4381,3143,2765,2921,2921
2076,255,225,223,3269,3040,2965,42,23,21,6745,6673,6673,512,441,308,4280,4280,3249,2711,2933,2933
2107,242,242,203,3194,3134,3029,31,36,19,6857,6675,6675,502,431,308,4221,4221,3132,2756,2936,2936
2138,253,225,226,3205,3155,3011,31,25,15,6991,6736,6736,488,449,313,4159,4159,3062,2757,2900,2900
2169,275,238,181,3245,3188,3054,28,26,21,6892,6850,6850,504,438,371,4300,4300,3054,2768,2934,2934
2200,242,226,203,3277,3231,3059,26,22,23,7072,6777,6777,507,435,342,4113,4113,3124,2743,2872,2872
2231,265,210,204,3372,3087,3093,29,21,22,7073,6864,6864,484,426,317,4113,4113,2948,2727,2901,2901
2262,238,215,208,3281,3314,3202,34,22,18,7105,6951,6951,483,418,321,4185,4185,3029,2746,3004,3004
2293,235,231,211,3384,3306,3099,27,24,16,7125,6830,6830,488,440,331,4057,4057,2885,2836,2946,2946
2324,206,224,208,3273,3202,3184,31,26,22,7057,7033,7033,491,441,327,4106,4106,2979,2728,2928,2928
2355,249,206,185,3433,3294,3119,21,18,16,7283,6988,6988,500,447,318,4072,4072,2878,2827,2980,2980
2386,228,206,196,3516,3268,3196,34,23,14,7247,7207,7207,466,458,329,3992,3992,2825,2891,3070,3070
2417,228,197,176,3415,3279,3277,29,21,18,7283,7014,7014,511,420,344,4064,4064,2822,2925,2917,2917
2448,218,196,189,3446,3194,3257,28,18,12,7363,6997,6997,505,436,306,4001,4001,2855,2997,3080,3080
2479,208,176,177,3497,3284,3262,27,22,22,7359,7141,7141,470,450,325,3935,3935,2833,2906,3046,3046
2510,223,184,186,3482,3327,3220,31,20,19,7345,7094,7094,469,458,312,3926,3926,2775,2982,3050,3050
2541,219,196,187,3500,3438,3267,36,27,22,7260,7209,7209,519,454,335,3857,3857,2779,2915,3037,3037
2572,217,197,155,3453,3327,3229,23,17,14,7397,7188,7188,494,450,317,3863,3863,2674,2943,3077,3077
2603,204,185,179,3478,3467,3258,20,26,18,7362,7268,7268,499,461,332,3885,3885,2853,2886,3074,3074
2634,197,171,164,3451,3384,3273,26,19,14,7457,7415,7415,504,445,361,3759,3759,2687,2952,3129,3129
