,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
3719,5449,5166,5212,23384,23569,22172,821,699,746,1280,1224,1260,63315,61031,59921,27470,25156,24657,66470,63960,61422
3750,5474,4960,5292,23473,23652,22042,796,674,741,1251,1242,1264,63849,61584,59716,27064,25333,24265,66722,64504,62218
3781,5485,5137,5224,23637,23708,22130,793,726,747,1260,1214,1230,63805,61858,60481,26989,25158,24236,66665,65083,62079
3812,5501,5175,5203,23561,23828,22232,817,744,752,1208,1196,1270,64402,61937,60838,26906,25158,24215,66947,64966,62781
3843,5423,5182,5211,23742,24108,22312,776,753,777,1274,1272,1246,64652,62542,60953,26508,24978,24138,66955,65573,62546
3874,5534,5210,5413,23683,23897,22485,816,739,726,1292,1236,1283,64911,62665,60906,26697,25052,23887,67609,65833,62809
3905,5402,5290,5277,24015,24093,22582,805,766,750,1294,1237,1296,64881,62475,61357,26479,24661,23637,67832,65671,63189
3936,5570,5298,5389,23974,24192,22746,820,744,718,1260,1254,1265,65351,63012,61439,26170,24843,23478,68067,65804,63317
3967,5629,5247,5404,24350,24310,22662,862,737,811,1270,1255,1289,65097,63200,61850,26063,24552,23526,68701,66613,64119
3998,5572,5412,5478,24273,24628,22903,830,751,750,1296,1270,1278,65771,63602,62271,25928,24325,23113,68666,66617,63966
4029,5525,5272,5459,24304,24429,22882,844,780,741,1332,1332,1199,66149,63879,62272,25996,24167,23277,69118,67423,63917
4060,5643,5341,5517,24614,24488,22897,833,762,767,1304,1355,1315,66194,64046,62610,25869,24108,23209,69243,67211,64337
4091,5717,5434,5559,24725,24750,23259,821,788,774,1368,1306,1319,66321,64269,63131,25526,24112,22944,69355,67738,64395
4122,5711,5364,5481,24691,24939,23143,832,778,756,1325,1291,1289,66929,64335,63122,25521,23808,22846,69580,67570,64900
4153,5637,5391,5585,24703,24712,23325,849,752,803,1307,1351,1321,67128,64834,63311,25282,23714,22761,70204,67600,65241
4184,5654,5461,5484,24889,24969,23240,820,800,796,1361,1328,1334,67438,64609,63526,25190,23497,22611,70309,68542,65975
4215,5676,5453,5457,25154,25288,23640,789,752,807,1413,1321,1332,67452,65154,63902,25401,23293,22361,70670,68532,65864
4246,5701,5540,5533,25267,25262,23643,814,773,816,1358,1319,1317,67679,65151,64119,25111,23233,22161,70485,69024,65574
4277,5734,5375,5576,25308,25222,23753,791,763,786,1372,1308,1372,67608,65412,63964,24869,23381,22590,70881,69208,66279
4308,5870,5492,5691,25128,25276,23797,763,790,765,1349,1327,1336,68329,65704,64159,24527,23014,22457,71897,69402,66328
4339,5793,5490,5618,25242,25422,23851,841,795,790,1396,1343,1383,68433,65938,64466,24699,22817,22038,71625,69735,66607
4370,5868,5646,5657,25483,25656,24009,856,796,803,1369,1376,1361,68604,66054,64539,24194,23058,22123,71423,69366,66820
4401,5773,5555,5685,25424,25534,24103,831,780,792,1349,1334,1300,69174,66092,65287,24258,22450,22062,72101,70195,66952
4432,5938,5541,5704,25611,25568,24214,849,797,827,1372,1328,1395,68770,66476,64832,24132,22506,21749,72064,70251,67069
4463,5962,5591,5713,25704,25939,24257,846,784,805,1367,1297,1287,68803,66690,65368,24243,22453,21594,72809,70513,67658
4494,5932,5608,5640,25714,25868,24401,863,777,825,1399,1355,1373,69345,66604,65536,23769,22198,21503,72513,70745,67626
4525,5965,5533,5798,25877,26017,24296,774,811,832,1359,1398,1404,69447,66901,65795,23732,22249,21493,73306,71079,68299
4556,6063,5559,5815,26159,26124,24438,884,773,826,1372,1358,1378,70045,67375,65773,23601,22038,21426,73073,70812,68490
4587,6109,5717,5794,26060,26153,24598,841,820,805,1357,1385,1409,69873,67702,65762,23421,21857,21222,73074,71459,68619
4618,5946,5705,5855,26428,26314,24612,849,827,830,1415,1442,1410,70433,67636,66502,23398,21822,20907,73609,71436,68548
4649,6011,5791,6001,26132,26354,24735,878,801,821,1391,1414,1330,69931,67988,66061,23370,21652,21064,73889,71892,68844
4680,6154,5628,5801,26289,26522,24906,877,812,848,1349,1404,1363,70738,67798,66170,23001,21717,20785,74495,72240,68738
4711,6063,5740,5841,26504,26654,24913,864,864,845,1404,1372,1329,70645,68311,67166,23232,21722,20906,74323,72012,69334
4742,6000,5745,5921,26669,26727,24985,890,830,787,1382,1363,1371,70601,68383,66989,22856,21229,20634,74002,72381,69442
4773,6119,5782,5803,26768,26680,24924,911,830,861,1350,1383,1347,71217,68533,67162,22804,21165,20595,74578,72919,69704
4804,6111,5826,5889,26587,26810,24961,896,829,823,1408,1385,1431,71172,68808,67362,22582,21031,20391,74849,72639,69942
4835,6104,5877,5860,26702,26910,25397,889,815,828,1499,1384,1383,71648,68954,67327,22497,20906,20331,74815,72950,69782
4866,6135,5769,5976,26978,27228,25039,872,837,817,1402,1458,1337,71509,68677,67382,22602,20847,20351,75178,72973,70294
4897,6121,5813,5978,26870,27038,25156,851,803,814,1445,1345,1386,71482,69580,67851,22404,21076,20185,75109,73302,69960
4928,6165,6015,6048,27115,27037,25354,928,838,847,1406,1402,1376,71743,69370,68009,22015,20697,19946,75543,73613,70051
4959,6285,5836,6093,26983,27044,25555,900,824,841,1467,1376,1413,72045,69774,68346,22021,20463,19802,75504,73691,70663
4990,6219,5963,6104,27144,27257,25662,897,810,860,1467,1383,1413,72313,69717,67887,21932,20419,19732,76400,73827,70936
5021,6275,5807,6000,27054,27154,25666,862,827,847,1472,1448,1384,72355,70036,68719,21768,20356,19710,76466,73917,70860
5052,6344,5919,6129,27498,27661,25503,888,844,856,1499,1412,1382,72608,70481,68255,21758,20279,19643,76341,74165,71386
5083,6158,6031,6091,27436,27671,25725,886,858,809,1412,1435,1413,72890,70077,69026,21761,20248,19314,76572,74237,71534
5114,6190,6030,6093,27261,27610,25900,896,855,802,1321,1450,1439,72854,70723,68975,21683,20002,19443,76951,75367,71678
5145,6245,6045,6257,27378,27659,25717,919,863,872,1478,1448,1397,72849,70865,68961,21257,19884,19193,76766,75003,71766
5176,6313,6080,6006,27516,27696,25955,911,856,873,1433,1484,1431,72903,70588,69001,21201,19789,18948,76812,75421,71899
5207,6315,5897,6177,27541,27995,25827,915,864,831,1417,1451,1452,73394,70878,69351,21137,19673,18965,77019,75416,72042
5238,6427,5997,6097,27680,27832,26062,909,855,919,1463,1452,1447,73938,70729,69558,21095,19332,18897,77276,75311,72277
5269,6364,6003,6192,27730,28102,26047,934,828,861,1474,1501,1402,73717,70700,69522,20854,19428,18733,77516,75760,72667
5300,6435,6048,6077,27902,28231,26045,913,861,848,1492,1449,1446,73437,71224,69823,20869,19266,18693,77811,75912,72754
5331,6359,6079,6256,28006,28116,26266,950,911,860,1463,1543,1476,74409,71235,70100,20625,19180,18636,77514,75739,72477
5362,6348,6105,6112,27803,28146,26141,936,861,841,1461,1430,1512,73911,71709,70130,20708,19024,18538,77680,75834,72697
5393,6330,6085,6251,28102,28271,26395,927,873,881,1469,1442,1435,74021,71469,70326,20494,18920,18448,78078,76487,72932
5424,6450,6108,6274,28353,28380,26299,946,830,894,1503,1488,1355,74103,71899,70296,20303,18935,18335,78193,76416,73531
5455,6533,6188,6213,28179,28227,26275,920,882,872,1529,1394,1463,74685,71960,70182,20349,18780,18511,78450,76519,73513
5486,6530,6105,6309,28361,28372,26514,967,898,828,1457,1491,1474,74428,71999,71231,20073,18746,18111,79028,76272,73402
5517,6548,6222,6333,28278,28445,26534,909,852,863,1452,1464,1433,74374,72281,71153,19686,18633,18009,79281,77010,73726
5548,6508,6215,6247,28497,28364,26517,947,909,846,1512,1526,1472,75030,72273,70663,19927,18667,17714,78888,77149,74052
5579,6397,6221,6340,28382,28371,26392,962,901,868,1505,1484,1471,75072,71986,70905,19786,18464,17767,78929,77043,74231
5610,6478,6142,6269,28423,28726,26713,965,923,873,1530,1516,1459,75073,72694,71214,19843,18370,17761,79239,77538,74233
5641,6516,6196,6203,28585,28713,26944,966,866,922,1473,1440,1489,75674,72511,70844,19518,18077,17748,79239,77819,74065
5672,6404,6116,6296,28367,28757,27036,900,852,873,1450,1434,1482,75330,72553,70669,19513,17922,17302,79722,77757,73920
5703,6687,6366,6395,28791,28865,27061,985,959,923,1446,1516,1490,76090,73287,71365,19496,17831,17455,79615,77883,74789
5734,6535,6221,6462,29065,28951,26925,911,868,906,1502,1475,1516,76026,73045,71459,19005,17609,17274,80055,77847,74274
5765,6608,6269,6447,28786,29010,27300,953,924,910,1458,1542,1457,75919,73328,71071,19211,17654,17054,80174,78254,74143
5796,6601,6327,6480,28837,29235,27076,974,887,884,1495,1473,1450,76067,73321,71874,18992,17665,17242,80098,78129,74898
5827,6567,6310,6332,28848,28972,27226,960,945,893,1522,1499,1433,75967,73350,71931,18720,17596,16826,80128,78048,75565
5858,6635,6383,6343,29031,29147,27402,955,873,911,1520,1477,1447,75853,73903,71833,18733,17577,17000,79989,78551,74838
5889,6584,6241,6298,29244,29532,27491,978,881,849,1516,1525,1460,76610,73590,72103,18670,17447,16579,80739,78798,75474
5920,6657,6323,6512,29112,29167,27208,957,894,899,1525,1507,1457,76306,73439,71904,18509,17177,16827,81089,78959,75210
5951,6715,6232,6417,28954,29083,27480,955,881,913,1592,1493,1497,76537,73799,72221,18415,17203,16551,80714,78660,75284
5982,6705,6312,6497,28953,29329,27355,974,941,923,1569,1539,1505,76443,74078,72917,18247,16979,16541,80997,79450,75302
6013,6697,6359,6525,29363,29351,27251,940,867,908,1545,1497,1486,76674,74092,72350,18402,16827,16449,80706,79140,75755
6044,6764,6296,6516,29219,29155,27442,1044,868,877,1523,1533,1471,76602,73449,72595,17971,16826,16285,81172,79491,75788
6075,6671,6416,6554,29427,29421,27299,990,916,932,1486,1530,1521,76477,74273,72502,18003,16746,16338,81525,79632,75865
