,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
9485,393,400,473,1564,1482,1759,136,103,94,54,52,51,450,723,601,58634,56196,58426,1210,892,915
9516,370,394,502,1575,1467,1812,138,119,86,54,41,43,485,746,607,58964,56031,59042,1192,885,984
9547,397,443,456,1535,1499,1741,125,111,94,52,45,48,417,739,640,59228,56425,59112,1251,868,971
9578,426,410,477,1535,1514,1799,163,130,87,58,39,54,464,706,629,59150,56349,58682,1257,879,919
9609,404,413,477,1592,1462,1785,140,130,81,47,37,51,443,755,617,58888,56241,58826,1210,833,931
9640,395,442,459,1579,1466,1876,137,106,94,49,46,55,458,756,638,58772,56403,58684,1188,866,959
9671,372,437,462,1561,1543,1821,121,123,93,53,36,56,437,729,595,58492,56414,58826,1193,862,931
9702,405,392,475,1486,1492,1787,157,128,101,52,48,52,460,713,639,58348,56200,59070,1181,839,950
9733,390,432,428,1512,1544,1761,134,125,90,42,45,39,434,718,603,58345,56185,58867,1225,859,902
9764,402,407,443,1558,1432,1797,143,134,90,50,47,51,456,722,623,58519,56359,58875,1229,861,935
9795,399,405,489,1576,1486,1763,147,100,96,43,39,55,445,762,601,58591,56031,58843,1179,854,890
9826,399,417,473,1554,1496,1740,135,113,99,49,34,54,461,722,594,59251,56379,58876,1257,866,941
9857,426,418,468,1591,1489,1782,140,131,103,58,41,50,452,714,637,58411,55980,58580,1211,824,972
9888,386,410,503,1514,1541,1782,143,141,89,54,33,53,486,788,561,58802,56535,58509,1190,911,956
9919,412,404,483,1555,1427,1785,136,125,98,65,43,60,488,705,581,58595,56330,58475,1216,873,945
9950,411,424,469,1617,1494,1841,134,103,86,53,35,47,471,728,588,58456,56445,58595,1227,887,908
9981,387,406,428,1550,1510,1795,145,120,103,43,40,55,452,705,625,58626,56014,58897,1208,860,945
10012,380,412,473,1607,1454,1761,141,125,95,53,47,52,456,754,572,58665,56103,58606,1275,878,916
10043,373,386,490,1549,1482,1818,143,120,98,41,43,43,461,782,636,58411,56290,58188,1279,907,927
10074,390,436,491,1533,1520,1765,133,106,99,38,48,52,443,737,604,58733,56027,58432,1205,880,921
