,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
4432,318707,326351,302516,1429392,1281042,1166274,87920,83757,83421,30722,28697,26553,179627,188358,183065,955374,1029169,1003210,1006603,988734,957336
4463,319583,326765,302997,1427701,1280304,1164689,87086,83154,83006,30757,28907,26466,178567,186904,181393,954328,1027030,1001965,1003632,987775,954591
4494,320633,327461,303477,1425807,1275978,1164027,86912,83042,82481,31028,29107,26493,177153,186229,180702,952065,1026494,999086,1003509,986878,952315
4525,322235,328196,304551,1423717,1274116,1161750,86992,82295,82402,30998,29058,26543,177214,185384,180595,949231,1022727,997669,999810,982780,951143
4556,322312,328679,304928,1421877,1274192,1161888,86719,82551,82139,30864,29442,26748,176389,183866,178848,948254,1021295,996214,994827,980570,946689
4587,322811,330555,305872,1419790,1270781,1158425,85981,82006,81877,31115,29116,26686,175339,183083,177452,946147,1019369,994473,993091,980008,945084
4618,324340,331193,306741,1418626,1272320,1157826,86108,81429,81449,31264,29461,26714,174201,182280,176793,944138,1017707,992481,991473,974975,944181
4649,324256,332462,307843,1415488,1268776,1156323,86116,81283,80870,31316,29241,26587,172878,181187,176306,942683,1015839,991439,986019,972982,940267
4680,326267,332480,308596,1412212,1268736,1156573,85443,81000,80754,31428,29709,26956,172410,180445,175033,940919,1013368,988761,984910,969265,939052
4711,326641,333420,309085,1409742,1264362,1153647,85378,80880,80159,31383,29417,26996,171608,179672,174287,937934,1011482,987764,983821,965833,935177
4742,326703,334145,310855,1408250,1262763,1150637,85010,80372,80273,31515,29640,27221,170694,178383,173554,936428,1008500,985420,979267,962848,933176
4773,327957,335402,311257,1405440,1261340,1149026,84172,79622,79785,31585,29872,27061,169515,177150,172650,934898,1006271,983183,976330,960587,929576
4804,328495,336584,311681,1402776,1260159,1146675,84170,79741,79374,31789,29736,27007,168384,176442,171769,932892,1005805,981807,973581,960076,928449
4835,329717,336363,312804,1400601,1257150,1144767,83555,79571,78989,31819,30038,27268,167567,175360,171359,930980,1003053,978940,970117,955279,926166
4866,330573,337708,312744,1397838,1255950,1142369,83190,79196,78507,31968,29849,27384,167111,174336,169927,928325,1001502,976923,967784,953020,923293
4897,331423,338387,313401,1394387,1249693,1141760,82733,78766,78305,31980,29967,27305,166320,173011,169520,926016,996151,976572,964834,949679,919180
4928,332265,338680,314135,1393901,1249819,1138421,82326,78246,77661,31759,30277,27308,165154,172576,168292,924790,996010,974021,961358,946448,916976
4959,332210,340036,314625,1390326,1248852,1136754,82288,77852,77815,32004,30398,27321,163649,171644,167462,922896,992264,971019,959319,942844,914589
4990,333453,341052,314854,1386338,1245286,1135054,82130,77390,77473,32301,30423,27573,163308,170706,166646,919539,990171,969094,955762,940937,911633
5021,333343,342077,316852,1384423,1243840,1133698,81304,76836,76958,32063,30443,27334,162432,169655,165712,918032,987703,966796,951133,935885,909140
5052,334994,343226,316838,1383061,1240686,1131082,81213,77124,76789,32436,30419,27483,161828,168283,164213,916013,985007,964020,947299,934143,905620
5083,335566,342197,317763,1377860,1237904,1129459,80985,76974,76310,32570,30408,27656,160585,167815,163416,912703,984538,962186,943688,931143,903710
5114,336404,343168,318985,1375612,1233703,1125202,80657,76086,75822,32356,30498,27643,159524,166746,162776,911006,981225,961072,942205,927349,900170
5145,336191,344080,318655,1373125,1232906,1123057,80180,75811,75622,32376,30724,27695,159555,166259,162256,908098,978535,957807,937972,922420,897792
5176,337236,345350,319892,1370472,1228732,1121921,79705,75631,75556,32412,30506,27996,157429,165310,161462,906336,976490,955226,936366,921920,895233
5207,337761,346266,319865,1369227,1225925,1119077,79131,74930,75036,32295,30655,27934,156773,164664,159791,905335,973633,951517,932684,918741,890805
5238,338931,346239,321155,1364629,1224422,1114842,79275,74926,74351,32650,30747,27923,156617,163645,159124,901882,972310,950871,930617,915838,889271
5269,339338,347765,322091,1360306,1224505,1113590,78910,74087,74323,32596,30888,28078,155073,162710,158830,898674,968086,949456,926080,912025,886182
5300,340187,347372,321335,1358985,1220487,1112109,79062,73966,73903,32993,30603,28025,153837,161023,158702,899210,968000,945574,924097,908282,883044
5331,340400,348703,321865,1355395,1217932,1110855,77809,73696,73738,32629,31045,28001,153159,160779,156368,894933,963763,943186,918768,905631,880362
5362,340733,348255,323689,1352923,1214037,1106081,78136,73490,73205,32959,31036,28287,152054,159500,155778,893196,961038,940900,914674,902704,878615
5393,341276,349042,322966,1348600,1212319,1102538,77764,73015,72929,32903,31217,28395,151682,158449,155171,890306,958770,938734,911681,899164,874145
5424,342066,351096,324087,1344514,1208430,1101273,77211,72650,72208,33026,31225,28277,150341,157652,154267,887989,956438,935443,908123,895847,872254
5455,342460,351005,325488,1341444,1205436,1097641,76552,72284,71918,32971,31152,28408,150047,156753,153279,886012,953720,933906,905595,890936,868594
5486,343907,351923,325322,1338261,1201684,1096651,76486,71879,71731,32791,31204,28362,148493,156005,153040,883654,949909,930262,902009,887509,864890
5517,344376,352523,326268,1334017,1201210,1093086,75802,71815,71154,32960,31268,28284,148255,155344,152065,880462,948950,929143,897408,886359,862164
5548,344603,352483,326841,1330350,1196806,1090756,76146,71191,70992,33336,31368,28320,146982,154002,150676,876808,944666,927363,895177,882412,859874
5579,345848,353906,327734,1328878,1194389,1085860,75549,70854,70589,33122,31421,28476,145797,153794,149791,875194,942878,922792,891863,879604,856282
5610,346102,353455,327254,1325060,1188795,1084445,74768,70224,70401,33252,31221,28514,145130,152548,148714,872929,938980,920847,887602,874764,853892
5641,346063,354377,328647,1322086,1188888,1082852,74705,70432,69734,33340,31588,28699,144373,150988,147601,871422,936299,918329,884467,871229,850217
5672,346413,354129,328380,1315118,1186349,1079434,74174,70386,69408,33365,31521,28693,143819,150741,147427,867129,933623,917237,881197,868780,846391
5703,347115,355453,329265,1313322,1181683,1077017,73709,69350,69120,33379,31592,28921,142699,149182,146623,864349,932402,911671,877591,865183,845115
5734,347910,356723,329641,1311022,1180005,1075432,73580,68860,68844,33372,31428,28669,141652,148885,145181,862942,929269,910355,874400,860758,839766
5765,347530,356482,329871,1307326,1176326,1071412,72686,68707,68380,33747,31751,28731,140911,147904,145337,858931,925945,906476,872022,857847,837062
5796,348400,356545,329634,1303046,1173346,1067462,72812,68295,68079,33516,31908,28768,140421,146858,143780,856898,923096,905538,866386,854885,834090
5827,349577,357942,331047,1300052,1172234,1064666,72792,67804,67720,33729,31856,28785,139053,145429,142629,854676,921944,901547,862601,853609,832012
5858,350018,357880,330522,1295934,1165774,1061904,71987,67654,67325,33585,31586,28928,137892,145447,141831,851883,917782,900323,859517,848489,827940
5889,350233,358640,331972,1291767,1164125,1061183,71553,67108,67117,33968,31909,28784,137275,143671,141234,849934,915376,897809,856414,843272,824819
5920,350222,359599,331686,1288028,1159134,1057170,71167,66857,66396,33857,31917,28646,136974,143455,140435,846681,910156,895221,852468,839883,822283
5951,351211,360574,332576,1285756,1156041,1053146,71396,67002,66350,34057,31698,29030,136065,142439,139517,843639,909140,891553,849980,837390,817184
5982,351132,360131,333659,1281158,1153454,1051525,70664,66275,66146,33737,31715,28965,134935,141563,138952,840581,905206,888831,846468,832160,813992
6013,351091,361044,333386,1277692,1149158,1047658,70142,65748,65636,33965,31981,29391,134778,140087,137883,840250,901616,886942,840657,830340,811097
6044,351153,361686,333630,1273311,1148789,1044098,69859,65585,65333,33898,32124,29174,133384,139564,136832,834018,901212,884134,840273,826431,808264
6075,353486,361133,333786,1271227,1142963,1041670,69367,65168,64839,34452,32160,29121,132527,138894,136363,830960,896053,880132,834154,822993,804424
