,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
4773,1089,952,947,15127,14074,13464,3202,3126,3099,337,314,282,107,118,120,2822,2558,2409,18496,19781,14852
4804,1044,1012,974,15470,14295,13127,3230,3202,2997,329,310,266,103,120,120,2907,2542,2456,18664,19829,14614
4835,1097,1015,942,15140,14305,13506,3273,3227,3073,363,303,298,115,105,130,2902,2528,2426,18784,19876,14773
4866,1105,1012,986,15139,14273,13655,3341,3215,3066,335,326,287,120,98,130,2932,2470,2363,18734,19911,14722
4897,1069,1056,931,15233,14446,13402,3240,3260,3074,315,325,310,111,113,103,2855,2557,2482,18823,19759,14730
4928,1082,1055,974,15426,14311,13545,3268,3111,3131,339,331,301,96,122,117,2999,2501,2419,18977,20044,14899
4959,1059,1012,972,15404,14448,13664,3258,3192,3072,350,331,323,134,105,119,3024,2569,2483,19128,20069,14766
4990,1082,1021,1025,15614,14580,13587,3294,3192,3120,338,318,303,117,100,116,2972,2576,2491,19218,20358,15170
5021,1119,1029,1042,15686,14526,13819,3251,3298,3171,342,323,304,118,107,109,2913,2534,2393,19094,20374,14950
5052,1127,1014,978,15563,14652,13702,3278,3272,3208,317,340,312,115,107,111,2984,2585,2522,19118,20175,15198
5083,1073,1025,959,15712,14383,13886,3243,3267,3194,320,318,289,113,120,107,2903,2643,2541,19064,20511,15106
5114,1116,1006,981,15756,14734,13678,3304,3364,3145,316,335,336,113,95,137,2936,2637,2525,19198,20399,15339
5145,1097,1052,1018,15881,14699,13839,3401,3293,3178,329,310,281,114,105,116,3039,2495,2433,19153,20513,15206
5176,1114,1078,992,15862,14781,13882,3306,3186,3143,300,314,315,111,99,117,2999,2602,2542,19258,20384,15243
5207,1105,1065,1016,15910,14907,13947,3368,3278,3194,348,317,297,118,109,126,3091,2650,2477,19481,20679,15191
5238,1089,1025,1023,15782,15073,14026,3363,3234,3225,347,317,286,93,112,120,3060,2624,2517,19470,20931,15451
5269,1107,1019,1004,15750,14992,14000,3352,3260,3207,354,327,309,104,100,113,2995,2601,2491,19566,20781,15316
5300,1116,1022,1016,15800,14848,13943,3289,3300,3236,320,329,302,96,91,100,3018,2666,2521,19648,20776,15385
5331,1118,1076,951,15919,15083,14071,3411,3407,3206,360,327,335,108,86,124,3121,2576,2527,19474,20810,15484
5362,1165,1038,1032,16059,14902,14093,3355,3262,3217,332,334,308,125,118,115,3115,2615,2560,19711,21167,15458
5393,1131,1028,1014,16037,15033,14133,3450,3365,3256,352,304,308,116,105,100,3071,2680,2532,19681,20903,15569
5424,1120,1071,1067,16350,14981,14092,3469,3359,3166,323,330,308,111,120,118,3138,2665,2512,19694,20919,15588
5455,1088,1049,1036,16033,15191,14153,3434,3305,3338,326,340,306,127,109,113,3097,2708,2547,19926,21104,15652
