,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
6757,267,260,901,255116,249237,241764,688,223,213,39,48,49,227,208,270,1185,1268,1177,5951,7376,9346
6788,278,264,885,255419,249111,241984,653,204,186,43,43,48,219,227,281,1143,1198,1129,5967,7395,9454
6819,260,249,887,255654,250051,241959,670,207,208,43,56,45,206,215,274,1225,1217,1198,6018,7521,9556
6850,270,236,912,256017,250171,241986,646,206,189,40,39,48,208,229,275,1192,1286,1127,6004,7358,9441
6881,261,278,915,255769,250446,241828,651,206,207,33,43,51,223,218,292,1169,1234,1197,5980,7380,9301
6912,235,247,909,256680,251088,242555,644,191,191,47,43,48,209,202,303,1173,1203,1208,6030,7485,9491
6943,255,234,920,257202,250979,243082,659,224,202,37,41,48,213,241,285,1179,1263,1160,6026,7461,9601
6974,240,246,853,257775,250794,243196,636,238,205,41,46,43,232,232,250,1258,1250,1138,5982,7434,9561
7005,259,260,894,257436,250816,243222,660,204,204,42,49,50,240,208,265,1190,1182,1161,5881,7393,9490
7036,249,227,887,257674,250844,243318,657,196,181,37,52,44,225,221,274,1159,1239,1153,5943,7353,9593
7067,274,262,940,257022,251975,244101,642,193,200,33,50,50,234,221,293,1220,1251,1143,6041,7471,9588
7098,250,263,887,257446,251268,243504,675,234,210,38,41,38,218,227,274,1164,1321,1178,6126,7483,9605
7129,258,301,876,256913,251465,243615,648,217,197,33,45,54,228,226,295,1124,1209,1150,6203,7467,9493
7160,253,261,915,257226,251798,245037,649,217,200,39,45,50,211,227,279,1210,1264,1216,6047,7527,9629
7191,250,236,934,258647,252303,244183,629,223,202,33,46,48,215,229,275,1200,1275,1177,6205,7402,9625
7222,255,275,867,259077,252691,244322,669,201,202,46,53,41,238,208,276,1182,1290,1182,6076,7527,9559
7253,266,238,900,258952,253477,244812,648,217,209,43,43,48,219,234,265,1152,1294,1186,6102,7609,9646
7284,252,263,909,259365,253194,245612,646,213,208,31,50,48,227,236,281,1198,1250,1143,6113,7632,9688
7315,247,234,927,258233,253522,245943,647,240,196,47,40,61,246,221,288,1177,1268,1183,6099,7602,9748
7346,241,268,903,259035,253810,245549,688,206,210,39,46,53,245,223,285,1226,1277,1204,6245,7564,9751
7377,250,238,891,259273,253875,245327,653,232,185,33,50,51,230,213,291,1180,1270,1247,6266,7612,9726
7408,246,232,936,260033,254768,245361,661,210,233,39,41,54,216,237,292,1211,1259,1151,6118,7544,9900
7439,251,247,900,260091,253749,245420,670,200,183,52,39,42,206,224,290,1226,1198,1165,6150,7733,9730
7470,251,261,933,260888,253462,246233,699,223,204,34,50,45,224,245,265,1182,1264,1225,6281,7635,9921
7501,247,260,967,259929,254322,246105,640,222,208,37,43,54,229,227,280,1250,1279,1164,6190,7607,9775
7532,276,252,932,260714,254333,246307,650,225,210,41,55,45,215,223,279,1175,1310,1196,6158,7693,9865
7563,240,270,928,260513,254170,246656,642,232,176,37,46,44,237,226,301,1153,1253,1202,6109,7694,9810
7594,278,263,943,260897,255045,246585,691,227,205,31,53,53,208,219,276,1285,1258,1214,6232,7560,9857
7625,245,257,940,261079,253680,247137,659,202,198,43,46,47,246,234,246,1217,1270,1157,6332,7804,9889
7656,260,262,936,260826,255289,246734,693,227,204,50,51,63,236,229,285,1226,1288,1209,6321,7742,9868
7687,291,249,962,261647,255088,247024,667,209,209,39,60,50,206,248,257,1182,1283,1192,6269,7705,10020
7718,242,268,949,262458,255421,246954,690,215,223,29,57,52,245,262,304,1169,1259,1209,6295,7645,10037
7749,280,270,940,261318,255492,246507,648,210,190,37,56,52,222,232,295,1232,1223,1187,6313,7630,9891
7780,248,273,915,260971,256161,247576,695,242,222,56,50,37,236,237,268,1237,1272,1260,6289,7802,9845
7811,273,253,945,262767,256016,247114,661,249,198,40,39,54,208,228,281,1259,1290,1206,6309,7952,9889
7842,246,282,886,263100,256201,247950,643,215,200,48,44,50,204,217,297,1281,1275,1212,6222,7721,10063
7873,274,232,892,262591,255550,248262,705,234,213,33,49,56,225,237,296,1257,1293,1170,6191,7843,10105
7904,266,244,937,261860,256553,247515,699,233,200,37,48,51,221,252,308,1228,1278,1182,6226,7647,9987
7935,253,256,896,262435,256150,248419,634,241,202,38,39,37,229,243,272,1241,1294,1239,6318,7710,9896
7966,255,272,936,262699,255668,248725,691,210,201,46,40,35,222,210,295,1233,1281,1148,6263,7681,10002
7997,244,272,926,262527,256794,247754,657,219,189,46,38,44,228,232,285,1208,1243,1163,6355,7875,9991
8028,243,278,933,262231,256780,248841,646,213,192,38,57,38,221,217,253,1213,1297,1154,6367,7837,10040
8059,268,231,943,263026,256580,247633,649,246,205,49,37,50,216,237,277,1228,1239,1150,6282,7989,10029
8090,253,260,916,263734,256914,248467,668,231,190,40,43,47,226,245,293,1223,1224,1179,6388,7857,9918
